# #127 George Washington Carver（1864?–1943）语料台账
src-CAT31355440	https://archive.org/details/CAT31355440	Tuskegee Agricultural Experiment Station Bulletin No.1: Feeding Acorns	1898	Bulletin No.1	en	P1	HIS-OWN	lane=writings. 题名页署「Feeding Acorns, Cx. W. Carvkr.」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355443	https://archive.org/details/CAT31355443	Tuskegee Agricultural Experiment Station Bulletin No.2: Experiments with Sweet Potatoes	1898	Bulletin No.2	en	P1	HIS-OWN	lane=writings. 题名页署「EXPERIMENTS WITH SWEET POTATOES. :0: G. W. CARVER.」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355448	https://archive.org/details/CAT31355448	Tuskegee Agricultural Experiment Station Bulletin No.3: Fertilizer Experiments on Cotton	1899	Bulletin No.3	en	P1	HIS-OWN	lane=writings. 题名页署「Fertilizer Experiments on Cotton. O. W. CARVE3R,」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355450	https://archive.org/details/CAT31355450	Tuskegee Agricultural Experiment Station Bulletin No.4: Some Cercosporae of Macon County, Alabama	1901	Bulletin No.4	en	P2	HIS-OWN	lane=writings. 题名页署「0,W CARVER, M. S. Ag., Director.」；★ 但印本自陈「REVI^IED ANO REPRINTED EROM THE REPORT : Of THE IOWA ATADEPtY Of SCIENCE IS99」——即 PIAS Vol.7 那篇 Some Cercosporae 的改订重印，与 src-proceedingsofiow07iowa-some-cercosporae-macon 同一作品 RIGHTS=pre1929
src-CAT31355453	https://archive.org/details/CAT31355453	Tuskegee Agricultural Experiment Station Bulletin No.5: Cow Peas	1903	Bulletin No.5	en	P1	HIS-OWN	lane=writings. 题名页署「Cow Teas. (t. Carver, M. S. Agi*., Director.」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355455	https://archive.org/details/CAT31355455	Tuskegee Agricultural Experiment Station Bulletin No.6: How to Build Up Worn Out Soils	1905	Bulletin No.6	en	P1	HIS-OWN	lane=writings. 题名页署「HOW TO BUILD UP WORN OUT SOILS G. W. Carver, M. S. Agr. Director」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355457	https://archive.org/details/CAT31355457	Tuskegee Agricultural Experiment Station Bulletin No.7: Cotton Growing on Sandy Upland Soils	1905	Bulletin No.7	en	P1	HIS-OWN	lane=writings. 题名页署「COTTON GROWING ON SANDY UPLAND SOILS G. W. Carver, M. S., Agr. Director」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355459	https://archive.org/details/CAT31355459	Tuskegee Agricultural Experiment Station Bulletin No.8: Successful Yields of Small Grain	1906	Bulletin No.8	en	P1	HIS-OWN	lane=writings. 题名页署「SUCCESSFUL riELDS OF SMALL G%AIN G. W. Carver, M. S., Agr. Director.」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355467	https://archive.org/details/CAT31355467	Tuskegee Agricultural Experiment Station Bulletin No.10: Saving the Sweet Potato Crop	1906	Bulletin No.10	en	P1	HIS-OWN	lane=writings. 题名页署「SAVING THE SWEET POTATO CROP G. W. Carver, M. S. Agr., Director」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355474	https://archive.org/details/CAT31355474	Tuskegee Agricultural Experiment Station Bulletin No.12: Saving the Wild Plum Crop	1907	Bulletin No.12	en	P1	HIS-OWN	lane=writings. 题名页署「SAVING THE WILD PLUM CROP By G. W. CARVER. M. S. Agr., Director」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355478	https://archive.org/details/CAT31355478	Tuskegee Agricultural Experiment Station Bulletin No.13: How to Cook Cow Peas	1908	Bulletin No.13	en	P1	HIS-OWN	lane=writings. 题名页署「HOW TO COOK COW PEAS G. W. Carver, M. S. Agr., Director.」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355480	https://archive.org/details/CAT31355480	Tuskegee Agricultural Experiment Station Bulletin No.14: How to Make Cotton Growing Pay	1908	Bulletin No.14	en	P1	HIS-OWN	lane=writings. 题名页署「How To Make Cotton Growing Pay Bv G. W. Carver」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355482	https://archive.org/details/CAT31355482	Tuskegee Agricultural Experiment Station Bulletin No.15: Increasing the Yield of Corn	1909	Bulletin No.15	en	P1	HIS-OWN	lane=writings. 题名页署「Increasing the Yield ol Corn BY GEORGE W. CARVER M.S.AGR.」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355483	https://archive.org/details/CAT31355483	Tuskegee Agricultural Experiment Station Bulletin No.16: Some Ornamental Plants of Macon County, Alabama	1909	Bulletin No.16	en	P1	HIS-OWN	lane=writings. 题名页署「G. W. CARVER, M. S. Agr., Dir.」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355484	https://archive.org/details/CAT31355484	Tuskegee Agricultural Experiment Station Bulletin No.17: Possibilities of the Sweet Potato in Macon County, Alabama	1910	Bulletin No.17	en	P1	HIS-OWN	lane=writings. 题名页署「G. W. CARVER, M. S. Agr., Dir.」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355485	https://archive.org/details/CAT31355485	Tuskegee Agricultural Experiment Station Bulletin No.18: Nature Study and Gardening for Rural Schools	1910	Bulletin No.18	en	P1	HIS-OWN	lane=writings. 题名页署「G. W. CARVER, M. S., Agr. Director」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355486	https://archive.org/details/CAT31355486	Tuskegee Agricultural Experiment Station Bulletin No.19: Some Possibilities of the Cow Pea in Macon County, Alabama	1910	Bulletin No.19	en	P1	HIS-OWN	lane=writings. 题名页署「G. W. CARVER, M. S. Agr., Director」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355487	https://archive.org/details/CAT31355487	Tuskegee Agricultural Experiment Station Bulletin No.20: Cotton Growing for Rural Schools	1911	Bulletin No.20	en	S1	ATTRIBUTION-UNCLEAR	lane=writings. ★ 题名页无个人署名：`Bulletin No. 20 : : : : June, 1911 Cotton Growing for Rural Schools HERE is doubtless no plant...` 题名后直接进正文；全文 Carver 仅 3 处——1 处在 Station Staff 名单、2 处是棉花品种名 `Carver's Improved`。卡佛署名系编目所加 RIGHTS=pre1929
src-CAT31355488	https://archive.org/details/CAT31355488	Tuskegee Agricultural Experiment Station Bulletin No.21: White and Color Washing with Native Clays from Macon County, Alabama	1911	Bulletin No.21	en	P1	HIS-OWN	lane=writings. 题名页署「G. W. CARVER, M. S. Agr. Dir.」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355495	https://archive.org/details/CAT31355495	Tuskegee Agricultural Experiment Station Bulletin No.23: Poultry Raising in Macon County, Alabama	1912	Bulletin No.23	en	P1	HIS-OWN	lane=writings. 题名页署「By G. W. Carver, M. S. Agr., Director」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355497	https://archive.org/details/CAT31355497	Tuskegee Agricultural Experiment Station Bulletin No.24: The Pickling and Curing of Meat in Hot Weather	1912	Bulletin No.24	en	P1	HIS-OWN	lane=writings. 题名页署「By G, W. Carver, M. S, A^r., Director」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355499	https://archive.org/details/CAT31355499	Tuskegee Agricultural Experiment Station Bulletin No.25: A Study of the Soils of Macon County, Alabama and their Adaptability to Certain Crops	1913	Bulletin No.25	en	P1	HIS-OWN	lane=writings. 题名页署「By G. W. Carver, M. S, Agr., Director」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355501	https://archive.org/details/CAT31355501	Tuskegee Agricultural Experiment Station Bulletin No.26: A New and Prolific Variety of Cotton	1915	Bulletin No.26	en	P1	HIS-OWN	lane=writings. 题名页署「By G. W. CARVER」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355502	https://archive.org/details/CAT31355502	Tuskegee Agricultural Experiment Station Bulletin No.27: When, What, and How to Can and Preserve Fruits and Vegetables in the Home	1915	Bulletin No.27	en	P1	HIS-OWN	lane=writings. 题名页署「GEO. W. CARVER, M. S. AGR.」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355504	https://archive.org/details/CAT31355504	Tuskegee Agricultural Experiment Station Bulletin No.29: Alfalfa, the King of All Fodder Plants, Successfully Grown in Macon County, Alabama	1915	Bulletin No.29	en	P1	HIS-OWN	lane=writings. 题名页署「BY GEO. W. CARVER, M. S. AGR. DIRECTOR」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355510	https://archive.org/details/CAT31355510	Tuskegee Agricultural Experiment Station Bulletin No.30: Possibilities of the Sweet Potato in Macon County, Alabama (revised and reprinted)	1915	Bulletin No.30	en	P2	HIS-OWN	lane=writings. 题名页署「REVISED AND REPRINTED BY GEO. W. CARVER, M. 8. AGR.」；★ 但印本自陈「REVISED AND REPRINTED」——No.30 是 No.17（src-CAT31355484）的改订重印，同一作品 RIGHTS=pre1929
src-CAT31355396	https://archive.org/details/CAT31355396	Tuskegee Agricultural Experiment Station Bulletin No.31: How to Grow the Peanut, and 105 Ways of Preparing It for Human Consumption	1916	Bulletin No.31	en	P1	HIS-OWN	lane=writings. 题名页署「BY G. W. Carver, m. s. agr, DIRECTOR」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355442	https://archive.org/details/CAT31355442	Tuskegee Agricultural Experiment Station Bulletin No.32: Three Delicious Meals Every Day for the Farmer	1916	Bulletin No.32	en	P1	HIS-OWN	lane=writings. 题名页署「By G. W. CARVER, M. S. AGR, Director」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355514	https://archive.org/details/CAT31355514	Tuskegee Agricultural Experiment Station Bulletin No.33: Twelve Ways to Meet the New Economic Conditions Here in the South	1917	Bulletin No.33	en	P1	HIS-OWN	lane=writings. 题名页署「By G. W. CARVER, M. S. Agr., Director」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355433	https://archive.org/details/CAT31355433	Tuskegee Agricultural Experiment Station Bulletin No.34: 43 Ways to Save the Wild Plum Crop	1917	Bulletin No.34	en	P2	HIS-OWN	lane=writings. 题名页署「By G. W. CARVER, M. S. Agr. Director」；★ 但正文自陈「This bulletin is a revision of Bulletin No. 12 issued in 1907.」——No.34 是 No.12（src-CAT31355474）的改订本，同一作品 RIGHTS=pre1929
src-CAT31355432	https://archive.org/details/CAT31355432	Tuskegee Agricultural Experiment Station Bulletin No.35: How to Grow the Cow Pea, and 40 Ways of Preparing It as a Table Delicacy	1917	Bulletin No.35	en	P1	HIS-OWN	lane=writings. 题名页署「G. W. CARVER, M. S. AGR., Director」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355722	https://archive.org/details/CAT31355722	Tuskegee Agricultural Experiment Station Bulletin No.36: How to Grow the Tomato, and 115 Ways to Prepare It for the Table	1918	Bulletin No.36	en	P1	HIS-OWN	lane=writings. 题名页署「By G. W. Carver」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355431	https://archive.org/details/CAT31355431	Tuskegee Agricultural Experiment Station Bulletin No.37: How to Make Sweet Potato Flour, Starch, Sugar, Bread and Mock Cocoanut	1918	Bulletin No.37	en	P1	HIS-OWN	lane=writings. 题名页署「BY G. W. CARVER, M. S. Agr., Director」（逐字照录 OCR 讹字） RIGHTS=pre1929
src-CAT31355418	https://archive.org/details/CAT31355418	Tuskegee Agricultural Experiment Station Bulletin No.38: How the Farmer Can Save His Sweet Potatoes, and Ways of Preparing It for the Table	1922	Bulletin No.38	en	P1	HIS-OWN	lane=writings. 题名页署「By GEO. W. CARVER, M. S. Agr.」（逐字照录 OCR 讹字） RIGHTS=pre1929
