identifier	year	lang	canon	title
ThePrince_201306	1532	eng	canon	The Prince
historie00mach	1537	ita	canon	Historie（佛罗伦萨史）
librodellartedel00mach	1540	ita	canon	Libro dell'arte della guerra（战争的艺术）
historiedinicolo00mach	1546	ita	canon	Historie di Nicolo' Machiavelli（John Adams 旧藏）
florentinehistor00mach	1595	eng	canon	The Florentine historie（Bedingfield 译）
b30335073	1595	eng+ita	canon	The Florentine historie
bim_early-english-books-1641-1700_a-caveat-for-wives_machiavelli-niccolo_1660	1660	en	**托名待考**	A caveat for wives
bim_early-english-books-1641-1700_nicholas-machiavels-pri_machiavelli-niccolo_1661	1661	en	canon	Nicholas Machiavel's prince
bim_early-english-books-1641-1700_machivaels-discourses_machiavelli-niccolo_1663	1663	en	canon	Machivael's discourses
bim_early-english-books-1641-1700_machivaels-discourses-_machiavelli-niccolo_1663_0	1663	en	canon	Machivael's discourses（另一件）
bim_early-english-books-1641-1700_machivaels-discourses-_machiavelli-niccolo_1663	1663	en	canon	Machivael's discourses（另一件）
spiegelderquadev00minn	1668	dut	**他人著作含其一篇**	Spiegel der quade vrouwen（Minnebroeder 著，含 Belfagor）
bim_early-english-books-1641-1700_machivaels-discourses-_machiavelli-niccolo_1674	1674	en	canon	Machivael's discourses
bim_early-english-books-1641-1700_the-florentine-history-i_machiavelli-niccolo_1674	1674	en	canon	The Florentine history in viii books
bim_early-english-books-1641-1700_machiavels-discourses-u_machiavelli-niccolo_1674	1674	en	canon	Machiavel's discourses upon the first decade
bim_early-english-books-1641-1700_the-works-of-the-famous-_machiavelli-niccolo_1675_0	1675	en	canon	The works of the famous Nicolas Machiavel
bim_early-english-books-1641-1700_the-works-of-the-famous-_machiavelli-niccolo_1675	1675	en	canon	The works（另一件）
bim_early-english-books-1641-1700_the-works-of-the-famous-_machiavelli-niccolo_1675_1	1675	en	canon	The works（另一件）
bim_early-english-books-1641-1700_the-works-of-the-famous-_machiavelli-niccolo_1680	1680	en	canon	The works of the famous
bim_early-english-books-1641-1700_machiavils-advice-to-hi_machiavelli-niccolo_1681	1681	en	**托名待考**	Machiavil's advice to his son
bim_early-english-books-1641-1700_the-publisher-or-transla_machiavelli-niccolo_1688	1688	en	**出版者/译者序**	The publisher or translator of Nicholas Machiavels whole works
bim_early-english-books-1641-1700_nicholas-machiavel-_machiavelli-niccolo_1689	1689	en	**托名待考**	Nicholas Machiavel …
bim_early-english-books-1641-1700_machiavels-vindication-_machiavelli-niccolo_1691	1691	en	**托名待考**	Machiavel's vindication of himself
bim_early-english-books-1641-1700_a-true-copy-of-a-letter-_machiavelli-niccol_1691	1691	en	**托名待考**	A true copy of a letter written by …
bim_early-english-books-1641-1700_the-works-of-_machiavelli-niccol_1694	1694	en	canon	The works of …
bim_early-english-books-1641-1700_the-works-of-the-famous-_machiavelli-niccolo_1695	1695	en	canon	The works of the famous Nicolas Machiavel
10927622bsb	1714	ger	canon	Lebens- und Regierungs-Maximen eines Fürsten（君主论德译）
bim_eighteenth-century_machiavellii-adversaria_machiavelli-niccol_1714	1714	en	canon	Machiavellii adversaria Pars I（君主论+劝告）
MarriageOfBelfagor	1719	eng	canon	Marriage Of Belfagor
bim_eighteenth-century_works-english-the-wo_machiavelli-niccolo_1720	1720	en	canon	The works（第三版，校订）
worksoffamousnic00mach	1720	eng	canon	The works（Neville 译）
bim_eighteenth-century_opere-inedite-di-niccolo_machiavelli-niccol_1760	1760	it	canon	Opere inedite（未刊作品）
bim_eighteenth-century_the-history-of-florence_machiavelli-niccol_1761_1	1761	en	canon	The history of Florence Vol 1
bim_eighteenth-century_the-history-of-florence_machiavelli-niccol_1761_2	1761	en	canon	The history of Florence Vol 2
bim_eighteenth-century_works-the-works-of-ni_machiavelli-niccolo_1762_1	1762	en	canon	The works Vol 1
bim_eighteenth-century_works-the-works-of-ni_machiavelli-niccolo_1762_2	1762	en	canon	The works Vol 2
worksmac02mach	1762	eng+ita	canon	Works（Farneworth 译/编）
10769851bsb	1762	ger	canon	Regierungskunst eines Fürsten（德译）
bim_eighteenth-century_tutte-le-opere-di-nicco_machiavelli-niccolo_1768_8	1768	it	canon	Tutte le opere Vol 8
bim_eighteenth-century_tutte-le-opere-di-nicco_machiavelli-niccolo_1768_4	1768	it	canon	Tutte le opere Vol 4
